,Locality,Type of Property,Sub Type,Price,Type of Sale,No of Rooms,Area(sqft),Equipped(Y/N),Furnished(Y/N),Open Fire(Y/N),Terrace Area,Garden Area,Surface of the Land(sqft),Surface area of the Plot(sqft),No of Facades,Simming Pool(Y/N),State of the Building
585, De Haan , Huis,Villa, (op aanvraag) , Huis,9,"3.875,01",,,,,,,"6.673,62",,Y,None
586, Bruges, Huis,Huis, (op aanvraag) , Huis,4,"1.991,32",,,,,,,"4.531,61",,Y,None
587, Bruges, Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,5,"2.152,78",,,,,,,"893,4",,Y,None
588, Oostende, Huis,Villa, (op aanvraag) , Huis,4,"2.206,6",,,,,,,"7.965,29",,Y,None
589, Jabbeke, Huis,Villa, (op aanvraag) , Huis,6,"3.659,73",,,,,,,"26.855,96",,Y,None
590, Jabbeke, Huis,Villa, (op aanvraag) , Huis,4,"2.421,88",,,,,,,"9.644,46",,Y,None
591, Oostende, Huis,Huis, (op aanvraag) , Huis,5,"5.381,96",,,,,,,"2.551,05",,Y,None
592, Bruges, Huis,Villa, (op aanvraag) , Huis,6,"2.798,62",,,,,,,"33.734,1",,Y,None
593, Bruges, Huis,Huis, (op aanvraag) , Huis,6,"2.314,24",,,,,,,"7.954,53",,Y,None
594, Bruges, Huis,Huis, (op aanvraag) , Huis,6,"6.404,53",,,,,,,"2.249,66",,Y,None
595, Bruges, House,Historic Estate, (On Request) , House,12,"4,467.02",,,,,,,807.29,,Y,None
596, Oostkamp, House,Historic Estate, (On Request) , House,7,"3,616.67",,,,,,,"6,167.72",,Y,None
597, Zwijnaarde, Huis,Vrijstaande woning, (op aanvraag) , Huis,7,"3.067,71",,,,,,,"41.720,92",,Y,None
598, Bruges, Huis,Villa, (op aanvraag) , Huis,6,"2.475,7",,,,,,,"17.168,44",,Y,None
599, Bruges, House,Bungalow, (On Request) , House,3,"1,270.14",,,,,,,"6,727.44",,Y,None
600, Oostende , Huis,Ander(e), (op aanvraag) , Huis,3,"645,83",,,,,,,(op,,Y,None
601, Bruges, Huis,Huis, (op aanvraag) , Huis,9,"2.841,67",,,,,,,"2.841,67",,Y,None
