,Locality,Type of Property,Sub Type,Price,Type of Sale,No of Rooms,Area(sqft),Equipped(Y/N),Furnished(Y/N),Open Fire(Y/N),Terrace Area,Garden Area,Surface of the Land(sqft),Surface area of the Plot(sqft),No of Facades,Simming Pool(Y/N),State of the Building
285, Antwerpen-Noord, Huis,Villa," 585,000 ", Huis,5,"2.346,53",,,,,,,"28.104,57",,Y,None
286, Antwerpen-Noord, Huis,Villa," 585,000 ", Huis,5,"2.346,53",,,,,,,"28.083,04",,Y,None
287, Bruges , House,Detached House," 585,000 ", House,7,"2,368.06",,,,,,,"15,564.61",,Y,None
288, Waterloo, Maison,Villa," 585,000 ", Maison,5,2,,,,,,,8,,Y,None
289, Noord-Limburg , Huis,Villa," 585,000 ", Huis,5,"3.186,12",,,,,,,"21.312,54",,Y,None
290, Antwerpen-Noord, Huis,Villa," 585,000 ", Huis,6,"2.368,06",,,,,,,"21.743,1",,Y,None
291, Bruges, House,Detached House," 575,000 ", House,5,"2,098.96",,,,,,,"575,000",,Y,None
292, Braine-L'alleud/Lillois/Ophain , Maison,Villa," 575,000 ", Maison,6,3,,,,,,,5,,Y,None
293, Nivelles, Maison,Villa," 575,000 ", Maison,5,2,,,,,,,19,,Y,None
294, Kortrijk , Huis,Villa," 575,000 ", Huis,8,"3.229,17",,,,,,,"575,000",,Y,None
295, Waterloo , Maison,Villa," 560,000 ", Maison,6,1,,,,,,,10,,Y,None
296, Antwerpen-Noord, Huis,Villa," 560,000 ", Huis,5,"2.228,13",,,,,,,"12.916,69",,Y,None
297, Noord-Limburg , Huis,Investering / Woon- en werkruimte," 550,000 ", Huis,10,"2.260,42",,,,,,,"550,000",,Y,None
298, Nivelles , Maison,Villa," 550,000 ", Maison,5,1,,,,,,,17,,Y,None
299, Lasne/Ohain , Maison,Maison détachée," 550,000 ", Maison,4,1,,,,,,,5,,Y,None
300, Mechelen, House,Investment / Residential investment," 550,000 ", House,None,"550,000",,,,,,,None,,Y,None
301, Lasne/Ohain , Maison,Villa," 549,000 ", Maison,6,1,,,,,,,7,,Y,None
302, East and surroundings, House,House," 545,000 ", House,4,"1,560.77",,,,,,,"2,411.12",,Y,None
303, East and surroundings, House,House," 545,000 ", House,4,"1,862.16",,,,,,,"4,294.8",,Y,None
304, Waterloo, Maison,Villa," 545,000 ", Maison,6,1,,,,,,,7,,Y,None
305, Hesbaye - nord ouest, Maison,Autre," 545,000 ", Maison,9,5,,,,,,,35,,Y,None
306, Deinze, Huis,Vrijstaande woning," 545,000 ", Huis,4,"2.464,94",,,,,,,"14.455,93",,Y,None
307, Antwerpen-Noord, Huis,Villa," 539,000 ", Huis,5,"2.357,3",,,,,,,"21.323,31",,Y,None
308, Mechelen, House,House," 538,000 ", House,5,"2,292.71",,,,,,,"3,982.65",,Y,None
309, Antwerpen-Noord, Huis,Villa," 535,000 ", Huis,4,"2.690,98",,,,,,,"20.989,63",,Y,None
310, Lasne/Ohain , Maison,Villa," 535,000 ", Maison,None,12,,,,,,,"535,000",,Y,None
311, Bruges, House,Investment / Residential investment," 530,000 ", House,11,"8,180.57",,,,,,,"530,000",,Y,None
312, Bruges, House,House," 525,000 ", House,5,"1,528.48",,,,,,,678.13,,Y,None
313, Keerbergen , House,Villa," 515,000 ", House,5,"3,552.09",,,,,,,"14,746.56",,Y,None
314, Huy et environs, Maison,Maison détachée," 497,000 ", Maison,6,2,,,,,,,"497,000",,Y,None
315, De Haan , Huis,Huis," 495,000 ", Huis,7,"5.920,15",,,,,,,"7.577,79",,Y,None
316, Braine-L'alleud/Lillois/Ophain, Maison,Villa," 495,000 ", Maison,4,1,,,,,,,10,,Y,None
317, Antwerpen-Zuid, Huis,Huis," 495,000 ", Huis,5,"1.722,23",,,,,,,"3.961,12",,Y,None
318, Noord-Limburg , Huis,Huis," 495,000 ", Huis,3,"2.142,02",,,,,,,"495,000",,Y,None
319, Braine-L'alleud/Lillois/Ophain, Maison,Maison détachée," 495,000 ", Maison,6,1,,,,,,,5,,Y,None
320, Hesbaye - nord ouest, Maison,Maison," 495,000 ", Maison,7,3,,,,,,,4,,Y,None
321, Rixensart/Limal , Maison,Villa," 495,000 ", Maison,7,2,,,,,,,9,,Y,None
322, Lasne/Ohain , Maison,Maison," 495,000 ", Maison,4,1,,,,,,,19,,Y,None
323, Brussels city center , House,House," 490,000 ", House,6,"2,098.96",,,,,,,"490,000",,Y,None
324, Noord-Limburg , Huis,Vrijstaande woning," 485,000 ", Huis,5,"2.852,44",,,,,,,"21.721,57",,Y,None
325, Antwerpen-Noord, Huis,Huis," 485,000 ", Huis,4,"1.905,21",,,,,,,"6.458,35",,Y,None
326, Antwerpen-Noord, Huis,Villa," 485,000 ", Huis,4,"1.937,5",,,,,,,"5.145,15",,Y,None
327, Liège, Maison,Établissement historique," 475,000 ", Maison,6,2,,,,,,,1,,Y,None
328, Antwerpen-Noord, Huis,Villa," 475,000 ", Huis,6,"2.906,26",,,,,,,"6.996,54",,Y,None
329, Waterloo, Maison,Maison détachée," 475,000 ", Maison,6,2,,,,,,,14,,Y,None
330, Antwerpen-Noord, Huis,Huis," 475,000 ", Huis,4,"1.840,63",,,,,,,"6.458,35",,Y,None
331, Lasne/Ohain , Maison,Maison," 475,000 ", Maison,3,1,,,,,,,9,,Y,None
332, Antwerpen-Zuid, Huis,Vrijstaande woning," 470,000 ", Huis,5,"1.668,41",,,,,,,"2.852,44",,Y,None
333, Mechelen , House,House," 465,000 ", House,4,"2,540.28",,,,,,,"10,871.55",,Y,None
334, Antwerpen-Noord, Huis,Vrijstaande woning," 465,000 ", Huis,4,"1.851,39",,,,,,,"6.458,35",,Y,None
335, Lasne/Ohain , Maison,Maison détachée," 460,000 ", Maison,5,1,,,,,,,4,,Y,None
336, Brussels city center , House,Investment / Residential investment," 460,000 ", House,None,None,,,,,,,None,,Y,None
337, Embourg et environs, Maison,Maison," 460,000 ", Maison,7,4,,,,,,,"460,000",,Y,None
338, Antwerpen-Noord, Huis,Huis," 460,000 ", Huis,5,"1.732,99",,,,,,,"6.458,35",,Y,None
339, Nivelles, Maison,Villa," 450,000 ", Maison,6,1,,,,,,,10,,Y,None
340, Seneffe , Maison,Autre," 450,000 ", Maison,7,2,,,,,,,34,,Y,None
341, Seneffe, Maison,Finca," 450,000 ", Maison,6,2,,,,,,,9,,Y,None
342, Noord-Limburg, Huis,Vrijstaande woning," 445,000 ", Huis,6,"3.013,89",,,,,,,"8.406,61",,Y,None
343, Noord-Limburg, Huis,Vrijstaande woning," 439,000 ", Huis,5,"3.229,17",,,,,,,"8.804,88",,Y,None
344, Waterloo, Maison,Maison détachée," 430,000 ", Maison,6,1,,,,,,,4,,Y,None
345, Antwerpen-Noord, Huis,Vrijstaande woning," 425,000 ", Huis,5,"1.722,23",,,,,,,"425,000",,Y,None
346, Valée de l'Ourthe and surroundings, Maison,Villa," 419,000 ", Maison,8,2,,,,,,,"419,000",,Y,None
347, Embourg et environs, Maison,Maison," 415,000 ", Maison,5,3,,,,,,,5,,Y,None
348, Huy et environs, Maison,Établissement historique," 409,000 ", Maison,5,2,,,,,,,"409,000",,Y,None
349, Noord-Limburg, Huis,Vrijstaande woning," 399,000 ", Huis,5,"3.896,54",,,,,,,"9.149,32",,Y,None
350, Liège, Maison,Investissement," 395,000 ", Maison,6,1,,,,,,,"395,000",,Y,None
351, Liège, Maison,Maison," 395,000 ", Maison,9,3,,,,,,,2,,Y,None
352, Neupré et environs, Maison,Villa," 390,000 ", Maison,5,1,,,,,,,34,,Y,None
353, Huy et environs, Maison,Villa," 387,000 ", Maison,5,2,,,,,,,"387,000",,Y,None
354, Hesbaye - nord ouest, Maison,Investissement," 375,000 ", Maison,6,2,,,,,,,5,,Y,None
355, Lasne/Ohain , Maison,Maison," 375,000 ", Maison,None,"375,000",,,,,,,None,,Y,None
356, Kortrijk, Huis,Vrijstaande woning," 365,260 ", Huis,4,"11.129,88",,,,,,,"365,260",,Y,None
357, Neupré et environs, Maison,Maison," 360,000 ", Maison,4,1,,,,,,,7,,Y,None
358, Noord-Limburg, Huis,Huis," 355,000 ", Huis,4,"5.198,97",,,,,,,"355,000",,Y,None
359, Noord-Limburg, Huis,Huis," 355,000 ", Huis,4,"5.123,62",,,,,,,"355,000",,Y,None
360, Noord-Limburg, Huis,Huis," 355,000 ", Huis,4,"5.134,39",,,,,,,"355,000",,Y,None
361, Noord-Limburg, Huis,Huis," 355,000 ", Huis,4,"5.177,44",,,,,,,"355,000",,Y,None
362, Valée de l'Ourthe and surroundings, House,Villa," 349,000 ", House,3,"1,528.48",,,,,,,"8,826.41",,Y,None
363, Neupré et environs, Maison,Maison," 330,000 ", Maison,6,2,,,,,,,7,,Y,None
364, Wavre/Bierges , Maison,Maison," 327,780 ", Maison,5,1,,,,,,,5,,Y,None
365, Liège, Maison,Maison détachée," 325,000 ", Maison,6,1,,,,,,,16,,Y,None
366, Zedelgem, House,Investment / Residential investment," 304,000 ", House,None,"6,609.04",,,,,,,"304,000",,Y,None
367, Bousval / Genappe , Maison,Maison," 295,000 ", Maison,5,1,,,,,,,5,,Y,None
368, Huy et environs, Maison,Villa," 295,000 ", Maison,5,1,,,,,,,"295,000",,Y,None
369, Noord-Limburg, Huis,Vrijstaande woning," 289,000 ", Huis,4,"2.690,98",,,,,,,"6.275,36",,Y,None
370, Neupré et environs, Maison,Bungalow," 285,000 ", Maison,5,1,,,,,,,11,,Y,None
371, Spa et environs, Maison,Villa," 279,000 ", Maison,None,6,,,,,,,"279,000",,Y,None
372, Noord-Limburg, Huis,Vrijstaande woning," 275,000 ", Huis,5,"2.690,98",,,,,,,"10.333,35",,Y,None
373, Kortrijk , Huis,Huis," 249,000 ", Huis,4,"1.345,49",,,,,,,"249,000",,Y,None
374, Hesbaye - nord ouest, Maison,Maison détachée," 244,500 ", Maison,4,"244,500",,,,,,,None,,Y,None
375, Noord-Limburg , Huis,Vrijstaande woning," 229,000 ", Huis,4,"1.506,95",,,,,,,"229,000",,Y,None
376, Noord-Limburg , Huis,Vrijstaande woning," 229,000 ", Huis,4,"1.506,95",,,,,,,"229,000",,Y,None
377, Noord-Limburg , Huis,Vrijstaande woning," 229,000 ", Huis,4,"1.506,95",,,,,,,"229,000",,Y,None
378, Noord-Limburg , Huis,Huis," 224,900 ", Huis,4,1.550,,,,,,,"2.088,2",,Y,None
379, Liège, Maison,Maison," 199,000 ", Maison,None,1,,,,,,,"199,000",,Y,None
380, Seneffe, Maison,Maison," 195,000 ", Maison,4,1,,,,,,,2,,Y,None
381, Zedelgem, Huis,Investering / Woon- en werkruimte," 171,000 ", Huis,None,None,,,,,,,None,,Y,None
382, Kortrijk , Huis,Investering / Woon- en werkruimte," 82,875 ", Huis,None,None,,,,,,,None,,Y,None
383, Antwerpen-Noord , Huis,Villa, (op aanvraag) , Huis,6,"3.659,73",,,,,,,"21.850,74",,Y,None
384, Kortrijk , Huis,Bungalow, (op aanvraag) , Huis,4,"3.390,63",,,,,,,(op,,Y,None
385, Antwerpen-Noord, Huis,Villa, (op aanvraag) , Huis,11,"5.166,68",,,,,,,"2,24",,Y,None
386, Antwerpen-Noord, Huis,Villa, (op aanvraag) , Huis,10,"7.857,65",,,,,,,"1,92",,Y,None
387, Brussels city center , House,Villa, (On Request) , House,8,"4,574.66",,,,,,,(On,,Y,None
388, Sint-Martens-Latem, Huis,Villa, (op aanvraag) , Huis,6,2.325,,,,,,,"20.505,25",,Y,None
389, Waregem, Huis,Vrijstaande woning, (op aanvraag) , Huis,None,None,,,,,,,None,,Y,None
390, Antwerpen-Noord, Huis,Villa, (op aanvraag) , Huis,11,"9.526,06",,,,,,,"1,37",,Y,None
391, Bruges, House,House, (On Request) , House,6,"2,152.78",,,,,,,"1,894.45",,Y,None
392, Kortrijk , Huis,Huis, (op aanvraag) , Huis,3,"3.229,17",,,,,,,(op,,Y,None
393, De Pinte, Huis,Historische pand, (op aanvraag) , Huis,2,"3.875,01",,,,,,,"48.749,75",,Y,None
394, Antwerpen-Centrum , Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,10,(op,,,,,,,None,,Y,None
395, De Haan , House,Villa, (On Request) , House,11,"5,134.39",,,,,,,"25,230.61",,Y,None
396, De Haan , House,House, (On Request) , House,7,"3,143.06",,,,,,,"1,399.31",,Y,None
397, Sint-Martens-Latem, Huis,Vrijstaande woning, (op aanvraag) , Huis,10,"5.338,9",,,,,,,"31.430,62",,Y,None
398, Kortrijk , Huis,Villa, (op aanvraag) , Huis,5,"2.690,98",,,,,,,"8.083,7",,Y,None
399, Zedelgem , House,Villa, (On Request) , House,5,"4,854.52",,,,,,,4.26,,Y,None
400, Antwerpen-Zuid, Huis,Villa, (op aanvraag) , Huis,11,"11.840,3",,,,,,,"30.451,1",,Y,None
401, Kortrijk, Huis,Huis, (op aanvraag) , Huis,5,"5.920,15",,,,,,,(op,,Y,None
402, Kortrijk , Huis,Villa, (op aanvraag) , Huis,7,"3.390,63",,,,,,,(op,,Y,None
403, De Haan , House,Villa, (On Request) , House,5,"2,669.45",,,,,,,"5,704.87",,Y,None
404, Kortrijk , Huis,Villa, (op aanvraag) , Huis,5,"3.498,27",,,,,,,(op,,Y,None
405, Kortrijk, Huis,Huis, (op aanvraag) , Huis,4,"1.722,23",,,,,,,(op,,Y,None
406, Bruges, Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,5,"2.518,76",,,,,,,"1.001,04",,Y,None
407, Kortrijk, Huis,Vrijstaande woning, (op aanvraag) , Huis,5,"14.466,7",,,,,,,"12.001,76",,Y,None
408, Jabbeke, House,Villa, (On Request) , House,4,"2,411.12",,,,,,,"8,503.49",,Y,None
409, Bruges , Huis,Investering / Woon- en werkruimte, (op aanvraag) , Huis,None,"12.001,76",,,,,,,(op,,Y,None
410, Sint-Martens-Latem, Huis,Vrijstaande woning, (op aanvraag) , Huis,6,"4.305,56",,,,,,,"30.138,95",,Y,None
411, Nevele, Huis,Villa, (op aanvraag) , Huis,7,"3.013,89",,,,,,,"21.883,03",,Y,None
